Word,Average Matches
aahed,1.1723542
aalii,0.9524838
aargh,1.0475162
aarti,1.3218143
abaca,0.71447086
abaci,0.9887689
abacs,0.9762419
abaft,0.8933045
abaka,0.60820735
abamp,0.79395247
aband,0.9131749
abash,0.9464363
abask,0.8699784
abaya,0.7010799
abbas,0.77926564
abbed,1.124838
abbes,1.2319654
abcee,1.1619871
abeam,1.0963283
abear,1.3291577
abele,1.2505399
abers,1.5926566
abets,1.5192225
abies,1.5105832
abler,1.6056155
ables,1.5110152
ablet,1.5321814
ablow,1.162419
abmho,1.0911447
abohm,1.0911447
aboil,1.3580993
aboma,0.9300216
aboon,1.0496761
abord,1.3200864
abore,1.6164147
abram,1.0017278
abray,1.0531317
abrim,1.2777538
abrin,1.3866091
abris,1.4159827
absey,1.4112312
absit,1.3425486
abuna,0.9455724
abune,1.3991361
abuts,1.2604752
abuzz,0.72051835
abyes,1.4112312
abysm,1.0838013
acais,1.1403887
acari,1.2349892
accas,0.8570194
accoy,1.0574514
acerb,1.5192225
acers,1.6708423
aceta,1.3330454
achar,1.1149029
ached,1.3658748
aches,1.4730022
achoo,1.0414687
acids,1.2924407
acidy,1.2056155
acing,1.2328293
acini,1.1041037
ackee,1.1339093
acker,1.4911447
acmes,1.438013
acmic,0.99438447
acned,1.4397408
acnes,1.5468682
acock,0.96414685
acold,1.3166307
acred,1.5637149
acres,1.6708423
acros,1.5053996
acted,1.4902807
actin,1.3913606
acton,1.4025918
acyls,1.313175
adaws,0.9110151
adays,1.0073434
adbot,1.2466522
addax,0.57321817
added,1.0103672
adder,1.3714902
addio,1.1239741
addle,1.2898488
adeem,1.1533477
adhan,0.9572354
adieu,1.4855292
adios,1.3896328
adits,1.3870411
adman,0.9222462
admen,1.374946
admix,0.97667384
adobo,0.9589633
adown,1.1645788
adoze,1.3144709
adrad,0.9174946
adred,1.3701944
adsum,1.1455723
aduki,1.1166307
adunc,1.1809936
adust,1.3049676
advew,1.1568035
adyta,1.0233262
adzed,1.023758
adzes,1.2907127
aecia,1.324406
aedes,1.2885529
aegis,1.524838
aeons,1.6440605
aerie,1.5071274
aeros,1.7680346
aesir,1.7568035
afald,0.9295896
afara,0.85658747
afars,1.1183585
afear,1.3032397
aflaj,0.7771058
afore,1.5904968
afrit,1.4112312
afros,1.4012959
agama,0.6639309
agami,0.93822896
agars,1.1585313
agast,1.0850972
agave,1.05054
agaze,1.0012959
agene,1.2224622
agers,1.6069114
agger,1.3399568
aggie,1.2578833
aggri,1.163283
aggro,1.174514
aggry,1.0639309
aghas,0.9563715
agila,1.0842333
agios,1.3593953
agism,1.1974082
agist,1.3568034
agita,1.0924406
aglee,1.262635
aglet,1.5464363
agley,1.438445
agloo,1.0937365
aglus,1.2665226
agmas,0.9213823
